D,mean
1/1/21,5.58333333
2/1/21,12.2916667
3/1/21,10.1666667
4/1/21,17.7916667
5/1/21,5.91666667
6/1/21,2.70833333
7/1/21,1.33333333
8/1/21,3.45833333
9/1/21,4.79166667
10/1/21,1.29166667
11/1/21,3.91666667
12/1/21,9.125
13-01-2021,5.375
14-01-2021,6.45833333
15-01-2021,17.5833333
16-01-2021,15.0833333
17-01-2021,25.25
18-01-2021,22.3043478
19-01-2021,6.14285714
20-01-2021,4.27777778
21-01-2021,2.625
22-01-2021,1.31818182
23-01-2021,15.0416667
24-01-2021,11.125
25-01-2021,10.2916667
26-01-2021,6.875
27-01-2021,11.2083333
28-01-2021,10.7083333
29-01-2021,1.41666667
30-01-2021,2
31-01-2021,7.45833333
1/2/21,6.66666667
2/2/21,1.875
3/2/21,1.125
4/2/21,1.08333333
5/2/21,1
6/2/21,1.125
7/2/21,3.09090909
8/2/21,10.8333333
9/2/21,5.29166667
10/2/21,3.125
11/2/21,6.83333333
12/2/21,7.29166667
13-02-2021,25.8333333
14-02-2021,26.4166667
15-02-2021,25.8333333
16-02-2021,26.3333333
17-02-2021,17.9166667
18-02-2021,1.79166667
19-02-2021,3.79166667
20-02-2021,3.70833333
21-02-2021,31.3333333
22-02-2021,8.95833333
23-02-2021,1.47826087
24-02-2021,26.2916667
25-02-2021,38.0833333
26-02-2021,28.875
27-02-2021,3.04166667
28-02-2021,32.5833333
