DAY,2021,2020,2019,2018
1-Mar,44,32,99,84
2-Mar,22,90,76,50
3-Mar,30,94,18,117
4-Mar,122,55,86,114
5-Mar,126,57,126,60
6-Mar,33,84,101,57
7-Mar,5,126,143,96
8-Mar,66,58,154,69
9-Mar,29,20,106,117
10-Mar,82,97,59,120
11-Mar,34,109,39,102
12-Mar,60,121,44,104
13-Mar,83,80,41,65
14-Mar,48,112,70,90
15-Mar,22,130,88,99
16-Mar,33,31,136,142
17-Mar,51,10,109,96
18-Mar,55,15,128,58
19-Mar,73,60,113,75
20-Mar,49,10,69,83
21-Mar,16,59,15,78
22-Mar,57,43,14,11
23-Mar,25,17,11,71
24-Mar,28,28,7,55
25-Mar,9,28,37,39
26-Mar,67,3,137,60
27-Mar,54,8,62,108
29-Mar,87,27,17,64
30-Mar,12,20,19,106
31-Mar,17,48,22,96
1-Apr,46,8,45,25
2-Apr,124,19,14,72
3-Apr,44,18,30,121
4-Apr,24,11,50,122
5-Apr,40,4,61,140
6-Apr,46,11,20,36
7-Apr,49,14,52,29
8-Apr,37,15,68,9
9-Apr,28,6,55,19
10-Apr,25,14,70,89
11-Apr,35,35,70,144
12-Apr,82,42,79,133
13-Apr,96,6,84,133
14-Apr,90,42,113,96
15-Apr,67,50,60,16
16-Apr,14,13,25,70
17-Apr,11,8,105,100
18-Apr,43,25,46,95
19-Apr,73,26,23,53
20-Apr,45,12,27,68
21-Apr,55,11,24,18
22-Apr,75,5,85,72
23-Apr,74,4,71,123
24-Apr,12,12,76,136
25-Apr,12,21,119,148
26-Apr,58,34,72,142
27-Apr,64,11,74,136
28-Apr,74,46,41,14
29-Apr,102,52,28,27
30-Apr,76,40,50,47
1-May,84,38,29,48
2-May,59,12,51,98
3-May,70,25,57,37
4-May,17,7,56,98
5-May,76,32,23,67
6-May,71,36,61,44
7-May,94,58,43,66
8-May,33,10,42,118
9-May,3,33,63,117
10-May,11,47,68,100
11-May,20,35,78,71
12-May,83,58,67,31
13-May,75,61,63,60
14-May,60,102,62,92
15-May,72,100,82,112
16-May,30,148,83,132
17-May,71,140,90,118
18-May,69,73,93,123
19-May,85,81,54,78
20-May,51,72,102,37
21-May,36,82,102,13
22-May,55,53,115,51
23-May,45,7,81,63
24-May,101,38,59,105
25-May,57,29,56,56
26-May,83,22,57,17
27-May,76,34,84,8
28-May,63,65,95,14
29-May,36,83,65,15
30-May,36,96,90,36
31-May,54,64,111,27
